source,table,variable,data_type
LDC,dataDustDeposition,ProjectKey,string
LDC,dataDustDeposition,PrimaryKey,string
LDC,dataDustDeposition,SeqNo,numeric
LDC,dataDustDeposition,SampleCompromised,logical
LDC,dataDustDeposition,DBKey,string
LDC,dataDustDeposition,DateLoadedInDb,date
LDC,dataDustDeposition,DateEstablished,date
LDC,dataDustDeposition,collectDate,date
LDC,dataDustDeposition,StackID,string
LDC,dataDustDeposition,Location,string
LDC,dataDustDeposition,Notes,string
LDC,dataDustDeposition,ItemType,string
LDC,dataDustDeposition,trapOpeningArea,numeric
LDC,dataDustDeposition,GPSCoordSys,string
LDC,dataDustDeposition,Datum,string
LDC,dataDustDeposition,Zone,string
LDC,dataDustDeposition,Easting,numeric
LDC,dataDustDeposition,Northing,numeric
LDC,dataDustDeposition,Longitude,numeric
LDC,dataDustDeposition,Latitude,numeric
LDC,dataDustDeposition,RecKey,string
LDC,dataDustDeposition,breakerNbr,string
LDC,dataDustDeposition,emptyWeight,numeric
LDC,dataDustDeposition,recordedWeight,numeric
LDC,dataDustDeposition,sedimentWeight,numeric
LDC,dataDustDeposition,daysExposed,numeric
LDC,dataDustDeposition,sedimentGprDay,numeric
LDC,dataDustDeposition,sedimentArchived,logical
LDC,dataDustDeposition,sedimentGperDayByInlet,numeric
LDC,dataGap,ProjectKey,string
LDC,dataGap,PrimaryKey,string
LDC,dataGap,LineKey,string
LDC,dataGap,RecKey,string
LDC,dataGap,FormDate,date
LDC,dataGap,GapStart,numeric
LDC,dataGap,GapEnd,numeric
LDC,dataGap,Gap,numeric
LDC,dataGap,OtherBasal,logical
LDC,dataGap,RecType,string
LDC,dataGap,Measure,numeric
LDC,dataGap,LineLengthAmount,numeric
LDC,dataGap,SeqNo,numeric
LDC,dataGap,FormType,string
LDC,dataGap,Direction,string
LDC,dataGap,GapMin,numeric
LDC,dataGap,GapData,numeric
LDC,dataGap,PerennialsCanopy,logical
LDC,dataGap,AnnualGrassesCanopy,logical
LDC,dataGap,AnnualForbsCanopy,logical
LDC,dataGap,OtherCanopy,logical
LDC,dataGap,Notes,string
LDC,dataGap,NoCanopyGaps,logical
LDC,dataGap,NoBasalGaps,logical
LDC,dataGap,PerennialsBasal,logical
LDC,dataGap,AnnualGrassesBasal,logical
LDC,dataGap,AnnualForbsBasal,logical
LDC,dataGap,DBKey,string
LDC,dataGap,DateLoadedInDb,date
LDC,dataGap,source,string
LDC,dataHeader,ProjectKey,string
LDC,dataHeader,PrimaryKey,string
LDC,dataHeader,DateVisited,date
LDC,dataHeader,Latitude_NAD83,numeric
LDC,dataHeader,Longitude_NAD83,numeric
LDC,dataHeader,LocationType,string
LDC,dataHeader,EcologicalSiteID,string
LDC,dataHeader,PercentCoveredByEcoSite,numeric
LDC,dataHeader,SpeciesKey,string
LDC,dataHeader,PlotID,string
LDC,dataHeader,wkb_geometry,geometry
LDC,dataHeader,DBKey,string
LDC,dataHeader,DateLoadedInDb,date
LDC,dataHeader,source,string
LDC,dataHeight,ProjectKey,string
LDC,dataHeight,PrimaryKey,string
LDC,dataHeight,LineKey,string
LDC,dataHeight,PointLoc,numeric
LDC,dataHeight,PointNbr,numeric
LDC,dataHeight,RecKey,string
LDC,dataHeight,Height,numeric
LDC,dataHeight,Species,string
LDC,dataHeight,Chkbox,logical
LDC,dataHeight,type,string
LDC,dataHeight,GrowthHabit_measured,string
LDC,dataHeight,FormType,string
LDC,dataHeight,FormDate,date
LDC,dataHeight,Direction,string
LDC,dataHeight,Measure,numeric
LDC,dataHeight,LineLengthAmount,numeric
LDC,dataHeight,SpacingIntervalAmount,string
LDC,dataHeight,SpacingType,string
LDC,dataHeight,HeightOption,string
LDC,dataHeight,HeightUOM,string
LDC,dataHeight,ShowCheckbox,logical
LDC,dataHeight,CheckboxLabel,string
LDC,dataHeight,source,string
LDC,dataHeight,DBKey,string
LDC,dataHeight,DateLoadedInDb,date
LDC,dataHorizontalFlux,ProjectKey,string
LDC,dataHorizontalFlux,PrimaryKey,string
LDC,dataHorizontalFlux,BoxID,string
LDC,dataHorizontalFlux,StackID,string
LDC,dataHorizontalFlux,Height,numeric
LDC,dataHorizontalFlux,DateEstablished,date
LDC,dataHorizontalFlux,Description,string
LDC,dataHorizontalFlux,openingSize,string
LDC,dataHorizontalFlux,processMethod,string
LDC,dataHorizontalFlux,ovenTemp,numeric
LDC,dataHorizontalFlux,BoxType,numeric
LDC,dataHorizontalFlux,azimuth,string
LDC,dataHorizontalFlux,SamplerType,string
LDC,dataHorizontalFlux,InletArea,numeric
LDC,dataHorizontalFlux,Location,string
LDC,dataHorizontalFlux,ItemType,string
LDC,dataHorizontalFlux,trapOpeningArea,string
LDC,dataHorizontalFlux,GPSCoordSys,string
LDC,dataHorizontalFlux,Datum,string
LDC,dataHorizontalFlux,Zone,string
LDC,dataHorizontalFlux,Easting,numeric
LDC,dataHorizontalFlux,Northing,numeric
LDC,dataHorizontalFlux,Longitude,numeric
LDC,dataHorizontalFlux,Latitude,numeric
LDC,dataHorizontalFlux,RecKey,string
LDC,dataHorizontalFlux,collectDate,date
LDC,dataHorizontalFlux,beakerNbr,string
LDC,dataHorizontalFlux,emptyWeight,numeric
LDC,dataHorizontalFlux,recordedWeight,numeric
LDC,dataHorizontalFlux,sedimentWeight,numeric
LDC,dataHorizontalFlux,daysExposed,numeric
LDC,dataHorizontalFlux,sedimentGperDay,numeric
LDC,dataHorizontalFlux,sedimentArchived,logical
LDC,dataHorizontalFlux,Notes,string
LDC,dataHorizontalFlux,sedimentGperDayByInlet,numeric
LDC,dataHorizontalFlux,SeqNo,numeric
LDC,dataHorizontalFlux,SampleCompromised,logical
LDC,dataHorizontalFlux,DBKey,string
LDC,dataHorizontalFlux,DateLoadedInDb,date
LDC,dataLPI,ProjectKey,string
LDC,dataLPI,PrimaryKey,string
LDC,dataLPI,LineKey,string
LDC,dataLPI,RecKey,string
LDC,dataLPI,layer,string
LDC,dataLPI,code,string
LDC,dataLPI,chckbox,logical
LDC,dataLPI,ShrubShape,string
LDC,dataLPI,FormType,string
LDC,dataLPI,FormDate,date
LDC,dataLPI,Direction,string
LDC,dataLPI,Measure,numeric
LDC,dataLPI,LineLengthAmount,numeric
LDC,dataLPI,SpacingIntervalAmount,numeric
LDC,dataLPI,SpacingType,string
LDC,dataLPI,ShowCheckbox,logical
LDC,dataLPI,CheckboxLabel,string
LDC,dataLPI,PointLoc,numeric
LDC,dataLPI,PointNbr,numeric
LDC,dataLPI,source,string
LDC,dataLPI,DBKey,string
LDC,dataLPI,DateLoadedInDb,date
LDC,dataSoilStability,ProjectKey,string
LDC,dataSoilStability,PrimaryKey,string
LDC,dataSoilStability,LineKey,string
LDC,dataSoilStability,RecKey,string
LDC,dataSoilStability,FormType,string
LDC,dataSoilStability,FormDate,date
LDC,dataSoilStability,SoilStabSubSurface,numeric
LDC,dataSoilStability,Line,string
LDC,dataSoilStability,Position,numeric
